name,state,circuit,lang
Allingtown - West Haven CT,Connecticut,,en
Beardsley Park - Bridgeport CT,Connecticut,,en
Berlin - CT,Connecticut,,en
Bethel - CT,Connecticut,,en
Branford - CT,Connecticut,,en
Canton - CT,Connecticut,,en
Cedar Spanish - Branford CT,Connecticut,,es
Central - Hartford CT,Connecticut,,en
Central - New Britain CT,Connecticut,,en
Central English - Stamford CT,Connecticut,,en
Central Haitian Creole - Norwich CT,Connecticut,,ht
Central Mandarin Chinese - Wethersfield CT,Connecticut,,ch
Central Spanish - New Haven CT,Connecticut,,es
Central Spanish - Stamford CT,Connecticut,,es
City Point - New Haven CT,Connecticut,,en
Colchester - CT,Connecticut,,en
Columbia - CT,Connecticut,,en
Cranbury Park - Norwalk CT,Connecticut,,en
Danielson - CT,Connecticut,,en
Danielson CT,Connecticut,,en
East - Bristol CT,Connecticut,,en
East - Naugatuck CT,Connecticut,,en
East - Stamford CT,Connecticut,,en
East English - Danbury CT,Connecticut,,en
East English - Waterbury CT,Connecticut,,en
East Rock - New Haven CT,Connecticut,,en
East Shore - East Haven CT,Connecticut,,en
East Spanish - Danbury CT,Connecticut,,es
East Spanish - Norwalk CT,Connecticut,,es
East Twi - Hartford CT,Connecticut,,tw
Enfield - CT,Connecticut,,en
English - East Hartford CT,Connecticut,,en
English - New London CT,Connecticut,,en
English - Norwich CT,Connecticut,,en
English - Shelton CT,Connecticut,,en
English - Trumbull CT,Connecticut,,en
English - Willimantic CT,Connecticut,,en
Fairfield - CT,Connecticut,,en
French - New Haven CT,Connecticut,,fr
Granby - CT,Connecticut,,en
Groton - CT,Connecticut,,en
Haitian Creole - Bridgeport CT,Connecticut,,ht
Haitian Creole - Stamford CT,Connecticut,,ht
Hartford Haitian Creole - Hartford CT,Connecticut,,ht
Highland Spanish - Waterbury CT,Connecticut,,es
Huntington Spanish - Bridgeport CT,Connecticut,,es
Italian - Hartford CT,Connecticut,,it
Jewett City - CT,Connecticut,,en
Lake Forest - Bridgeport CT,Connecticut,,en
Lake Whitney - Hamden CT,Connecticut,,en
Lakewood Spanish - Waterbury CT,Connecticut,,es
Manchester - CT,Connecticut,,en
Mystic - CT,Connecticut,,en
New Fairfield - CT,Connecticut,,en
Newington - CT,Connecticut,,en
Noble Spanish - Bridgeport CT,Connecticut,,es
North - Bloomfield CT,Connecticut,,en
North - Meriden CT,Connecticut,,en
North - Middletown CT,Connecticut,,en
North - New Britain CT,Connecticut,,en
North - New Milford CT,Connecticut,,en
North - Waterbury CT,Connecticut,,en
North English - Hartford CT,Connecticut,,en
North Jamaican Creole - Hartford CT,Connecticut,,jam
North Spanish - Hartford CT,Connecticut,,es
North Spanish - New Britain CT,Connecticut,,es
Orange - CT,Connecticut,,en
Paradise Green - Stratford CT,Connecticut,,en
Plainfield - CT,Connecticut,,en
Plainville - CT,Connecticut,,en
Plymouth - CT,Connecticut,,en
Polish - New Britain CT,Connecticut,,pl
Portuguese - Bridgeport CT,Connecticut,,pt
Portuguese - Danbury CT,Connecticut,,pt
Portuguese - Naugatuck CT,Connecticut,,pt
Preston - CT,Connecticut,,en
Putnam - CT,Connecticut,,en
Putnam CT,Connecticut,,en
Seaside - Bridgeport CT,Connecticut,,en
Shelter Rock - Danbury CT,Connecticut,,en
Sign Language - Bridgeport CT,Connecticut,,ase
Soundview - Norwalk CT,Connecticut,,en
South - Meriden CT,Connecticut,,en
South - Middletown CT,Connecticut,,en
South - New Milford CT,Connecticut,,en
South - Stratford CT,Connecticut,,en
South - Waterbury CT,Connecticut,,en
South English - Hartford CT,Connecticut,,en
South Spanish - Danbury CT,Connecticut,,es
South Spanish - Hartford CT,Connecticut,,es
South Spanish - New Britain CT,Connecticut,,es
South Windsor - CT,Connecticut,,en
Spanish - Bristol CT,Connecticut,,es
Spanish - East Hartford CT,Connecticut,,es
Spanish - Meriden CT,Connecticut,,es
Spanish - New London CT,Connecticut,,es
Spanish - Shelton CT,Connecticut,,es
Spanish - West Haven CT,Connecticut,,es
Spanish - Willimantic CT,Connecticut,,es
Spring Hill Korean - Trumbull CT,Connecticut,,ko
Stafford Springs - CT,Connecticut,,en
Stafford Springs CT,Connecticut,,en
Stonington - CT,Connecticut,,en
Torringford Spanish - Torrington CT,Connecticut,,es
Torrington - CT,Connecticut,,en
Vernon - CT,Connecticut,,en
Wallingford - CT,Connecticut,,en
Warehouse Point - CT,Connecticut,,en
Waterside Spanish - Stamford CT,Connecticut,,es
Waterville - Waterbury CT,Connecticut,,en
West - Bristol CT,Connecticut,,en
West - Naugatuck CT,Connecticut,,en
West - Seymour CT,Connecticut,,en
West - Stamford CT,Connecticut,,en
West English - Danbury CT,Connecticut,,en
West English - Waterbury CT,Connecticut,,en
West Hartford - CT,Connecticut,,en
West River Swahili - New Haven CT,Connecticut,,sw
West Rock - New Haven CT,Connecticut,,en
West Sign Language - Hartford CT,Connecticut,,ase
West Spanish - Bridgeport CT,Connecticut,,es
West Spanish - Danbury CT,Connecticut,,es
West Spanish - Hartford CT,Connecticut,,es
West Spanish - Norwalk CT,Connecticut,,es
Westbrook - CT,Connecticut,,en
Wethersfield - CT,Connecticut,,en
Windsor - CT,Connecticut,,en
Winsted - CT,Connecticut,,en
Wintergreen Hills - Hamden CT,Connecticut,,en
Woodbury - CT,Connecticut,,en
Woodin Hill Spanish - Hamden CT,Connecticut,,es
Woodmont - Milford CT,Connecticut,,en
West Sign Language - Hartford CT,Conneticut,NY-42-B-ASL,ase
Brandywine - Wilmington DE,Delaware,,en
Central Mandarin Chinese - Wilmington DE,Delaware,,ch
Christiana - Newark DE,Delaware,,en
Christiana Jamaican Creole - Newark DE,Delaware,,jam
Christiana Sign Language - Newark DE,Delaware,,ase
Claymont Spanish - Wilmington DE,Delaware,,es
Clayton - DE,Delaware,,en
English - Dagsboro DE,Delaware,,en
English - Milford DE,Delaware,,en
Felton - DE,Delaware,,en
Georgetown - DE,Delaware,,en
Iron Hill - Newark DE,Delaware,,en
Korean Group - Penny Hill - Wilmington DE,Delaware,,ko
Limestone - Newark DE,Delaware,,en
Manor Park - New Castle DE,Delaware,,en
Mill Creek - Wilmington DE,Delaware,,en
Milltown Spanish - Wilmington DE,Delaware,,es
Newark Spanish - Wilmington DE,Delaware,,es
North - Dover DE,Delaware,,en
North - New Castle DE,Delaware,,en
North - Wilmington DE,Delaware,,en
North Haitian Creole - Seaford DE,Delaware,,ht
Nottingham - Newark DE,Delaware,,en
Penny Hill - Wilmington DE,Delaware,,en
Pike Creek - Wilmington DE,Delaware,,en
Red Lion - Bear DE,Delaware,,en
Smyrna - DE,Delaware,,en
South - Dover DE,Delaware,,en
South - New Castle DE,Delaware,,en
South - Wilmington DE,Delaware,,en
Spanish - Bear DE,Delaware,,es
Spanish - Dagsboro DE,Delaware,,es
Spanish - Dover DE,Delaware,,es
Spanish - Milford DE,Delaware,,es
White Clay - Newark DE,Delaware,,en
Airport French - Auburn ME,Maine,,fr
Albion - ME,Maine,,en
Auburn - ME,Maine,,en
Back Cove Lingala - Portland ME,Maine,,ln
Bangor - ME,Maine,,en
Bar Harbor - ME,Maine,,en
Bath - ME,Maine,,en
Belfast - ME,Maine,,en
Bucksport - ME,Maine,,en
Buxton - ME,Maine,,en
Calais - ME,Maine,,en
Caribou - ME,Maine,,en
Casco Bay French - Portland ME,Maine,,fr
Central - Portland ME,Maine,,en
Corinna - ME,Maine,,en
East - Augusta ME,Maine,,en
Ellsworth - ME,Maine,,en
English - Brunswick ME,Maine,,en
Fairfield - ME,Maine,,en
Farmington - ME,Maine,,en
Fort Kent - ME,Maine,,en
Houlton - ME,Maine,,en
Kennebunk - ME,Maine,,en
Kittery - ME,Maine,,en
Lewiston - ME,Maine,,en
Limington - ME,Maine,,en
Lincoln - ME,Maine,,en
Lisbon Portuguese - Lewiston ME,Maine,,pt
Machias - ME,Maine,,en
Milo - ME,Maine,,en
Monmouth - ME,Maine,,en
Newcastle - ME,Maine,,en
North Windham - ME,Maine,,en
North Yarmouth - ME,Maine,,en
Norway - ME,Maine,ME-3,en
Oaks Park Portuguese - Portland ME,Maine,,pt
Old Town - ME,Maine,,en
Pittsfield - ME,Maine,,en
Presque Isle - ME,Maine,,en
Rockland - ME,Maine,,en
Rumford - ME,Maine,,en
Saco - ME,Maine,,en
Sanford - ME,Maine,,en
