name,address,state
"Kingdom Hall (A) - Anchorage, AK",2301 Strawberry Rd Anchorage AK 99502-7155,AK
"Kingdom Hall (B) - Anchorage, AK",2301 Strawberry Rd Anchorage AK 99502-7155,AK
"Mobile, AL (Mitchell Center - University of South Alabama)",2195 Mitchell Center Dr Mobile AL 36688-0001,AL
"Montgomery, AL (Garrett Coliseum)",1555 Federal Drive Montgomery AL 36107,AL
"Little Rock, AR (The Governor's Halls Statehouse Convention Center)",100 E Markham St Little Rock AR 72201-1512,AR
"Casa Grande, Arizona (AH)",6627 N Azurite Way Casa Grande AZ 85194-9411,AZ
"Bakersfield, CA (Dignity Health Theater)",1001 Truxtun Ave Bakersfield CA 93301,CA
"Crescent City, CA (Del Norte Fairgrounds - 41st Agricultural District)",421 US Highway 101 N Crescent City CA 95531-2303,CA
"Escondido, California (AH)",521 Imperial Dr Escondido CA 92026-3938,CA
"Fairfield, California (AH)",2020 Walters Rd Fairfield CA 94533-6627,CA
"Fremont, California (AH)",43400 Osgood Rd Fremont CA 94539-5610,CA
"Kingdom Hall - Sacramento, CA",3409 52nd Ave Sacramento CA 95823-1026,CA
"Kingdom Hall - San Jose, CA",1188 Branham Ln San Jose CA 95118,CA
"Kingdom Hall - Santa Maria, CA",333 Hidden Pines Way Santa Maria CA 93458-1097,CA
"Madera, California (AH)",2799 Sunset Ave Madera CA 93637-2657,CA
"Mira Loma, California (AH)",3300 Cornerstone Dr Mira Loma CA 91752-1011,CA
"Norco, California (AH)",1001 Parkridge Ave Norco CA 92860-3150,CA
"Yuba City, California (AH)",650 N George Washington Blvd Yuba City CA 95993-8401,CA
"Aurora, Colorado (AH)",7400 S Oak Hill Way Aurora CO 80016-2115,CO
"Grand Junction, CO (Convention Center)",159 Main St Grand Junction CO 81501,CO
"Daytona Beach, Florida (AH)",299 N Tomoka Farms Rd Daytona Beach FL 32124-1035,FL
"Plant City, Florida (AH)",1904 N Frontage Rd Plant City FL 33563-2756,FL
"West Palm Beach, Florida (AH)",1610 Palm Beach Lakes Blvd West Palm Beach FL 33401-2202,FL
"Albany, GA (Civic Center)",100 W Oglethorpe Blvd Albany GA 31701-2830,GA
"Conyers, Georgia (AH)",125 Glen Rd NE Conyers GA 30013-1541,GA
"Kingdom Hall - Honolulu, HI",2055 Kamehameha IV Rd Honolulu HI 96819-2619,HI
"Kingdom Hall - Lihue HI",3100 Akahi St Lihue HI 96766,HI
"Mililani, Hawaii (AH)",239 Palii St Mililani HI 96789-3964,HI
"Coralville, IA (Hyatt Regency Hotel & Conference Center)",300 E 9th St Coralville IA 52241,IA
"Ottumwa, IA (Bridge View Center)",102 Church St Ottumwa IA 52501-4209,IA
"Sioux City, IA (Convention Center)",801 4th St Sioux City IA 51101-1703,IA
"Coeur D'Alene, ID (North Idaho College - Boswell Hall - Schuler P.A.C)",800 W Garden Ave Coeur D'Alene ID 83814-2161,ID
"Idaho Falls, ID (Idaho Falls Civic Center)",501 South Holmes Ave Idaho Falls ID 83401,ID
"Twin Falls, ID (CSI Fine Arts Center at College of Southern Idaho)",315 Falls Ave Twin Falls ID 83301-3367,ID
"Romeoville, Illinois (AH)",800 N Schmidt Rd Romeoville IL 60446-1073,IL
